,Date,,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
125,26-12-2022,RTC,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41
126,26-12-2022,Evening,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8,8091.8
127,26-12-2022,Day,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23,6597.23
128,26-12-2022,Night,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18,2632.18
129,26-12-2022,Morning,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3,10305.3
130,27-12-2022,RTC,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15,6548.15
131,27-12-2022,Evening,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52,8076.52
132,27-12-2022,Day,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74,7161.74
133,27-12-2022,Night,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99,2588.99
134,27-12-2022,Morning,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34,10110.34
135,28-12-2022,RTC,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41,5958.41
136,28-12-2022,Evening,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53,7601.53
137,28-12-2022,Day,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79,6667.79
138,28-12-2022,Night,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43,2661.43
139,28-12-2022,Morning,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03,8022.03
140,29-12-2022,RTC,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27,6191.27
141,29-12-2022,Evening,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14,7356.14
142,29-12-2022,Day,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63,6671.63
143,29-12-2022,Night,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87,2853.87
144,29-12-2022,Morning,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81,9443.81
145,30-12-2022,RTC,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76,6218.76
146,30-12-2022,Evening,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78,6639.78
147,30-12-2022,Day,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86,6648.86
148,30-12-2022,Night,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96,2887.96
149,30-12-2022,Morning,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47,10663.47
150,31-12-2022,RTC,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5,6564.5
151,31-12-2022,Evening,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64,7640.64
152,31-12-2022,Day,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12,7358.12
153,31-12-2022,Night,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51,2841.51
154,31-12-2022,Morning,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68,10076.68
0,01-01-2023,RTC,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75,4917.75
1,01-01-2023,Evening,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05,5595.05
2,01-01-2023,Day,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78,5184.78
3,01-01-2023,Night,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08,2711.08
